"Dataset","Area_square_microns","Perimeter_microns","Variability"
"CBA-3 MeAc",20.6656961719359,22.6316046264478,8.10155939619383
"CBA-3 MeAc",19.3449880183832,21.7811773127285,6.96906144013604
"CBA-3 MeAc",21.2032921190551,22.1492224818562,5.21543894144178
"CBA-3 MeAc",19.5524069271143,20.0356713189259,8.24607275121956
"CBA-3 MeAc",19.8656518096877,20.7086150892907,6.61482286088544
"CBA-3 MeAc",19.9079821992246,21.6418060945287,5.583755738844
"CBA-3 MeAc",21.592731702795,20.7755921388368,9.63719229101813
"CBA-3 MeAc",20.2847226661034,21.6418060945287,6.22599405842325
"CBA-3 MeAc",19.9291473939931,21.5721204854288,4.3212170203329
"CBA-3 MeAc",21.0890000673053,20.829491105964,8.35748296588017
"CBA-3 MeAc",21.30065201499,22.4094697167293,6.09830886196597
"CBA-3 MeAc",17.6983358653961,18.1192208229782,22.2467443170616
"CBA-3 MeAc",21.2117581969625,22.8629871369295,5.60984299753892
"CBA-3 MeAc",20.7672891068246,22.0664587903375,5.68524022464454
"CBA-3 MeAc",20.9027463533428,22.070289271993,6.52095268351018
"CBA-3 MeAc",21.3895458330176,22.2412337741381,8.41211153638107
"CBA-3 MeAc",21.9229087411831,22.6223570256845,7.50523751009316
"CBA-3 PFA",20.4328790294827,22.970785071184,7.13637079128504
"CBA-3 PFA",19.9503125887615,21.5051434358827,4.24788374064585
"CBA-3 PFA",19.514309576531,21.7496040287832,4.82819116570613
"CBA-3 PFA",19.6497668230492,20.6296818794276,5.14028339441249
"CBA-3 PFA",17.063380022342,19.988311393008,14.7733879635284
"CBA-3 PFA",19.2391620445409,20.9911880073459,8.37123582365344
"CBA-3 PFA",20.4582772632049,20.4957277803355,17.2574762480593
"CBA-3 PFA",19.2730263561704,21.3723112588923,5.17587566861328
"CBA-3 PFA",18.7438964869586,21.6575927365013,9.72424351373834
"CBA-3 PFA",19.7471267189842,21.7114917036286,7.10074180141442
"CBA-3 PFA",20.0603716015576,21.9428742141103,3.75617870481743
"CBA-3 PFA",20.678395288797,22.0860759139657,4.72026249606054
"CBA-3 PFA",19.4550470311793,20.8006263815726,6.52757986985345
"CBA-3 PFA",19.1418021486059,20.6705027641361,6.1858948618299
"CBA-3 PFA",19.1121708759301,20.6323904389814,11.2470271730029
"CBA-3 PFA",20.7630560678709,22.0887844735195,5.15768333803089
"CBA-3 PFA",18.8666546166158,20.3378613606092,10.6720265802755
"CBA-3 PFA",18.2909613189133,21.0635821759996,15.28009866703
"CBA-3 PFA",17.11840952874,18.017961929933,17.8963318962925
"CBA-3 PFA",18.6931000195143,19.9567381090627,6.09189498101883
